PEOPLE_NEGATIVE_NEW_COUNT,PROVINCE_STATE_CODE,PEOPLE_POSITIVE_CASES_COUNT,DATA_COMPLETENESS_SCORE_NAME,REPORT_DATE,PEOPLE_IN_INTENSIVE_CARE_CURRENTLY_COUNT,PEOPLE_PENDING_CASES_COUNT,PEOPLE_RECOVERED_COUNT,REPORTED_DATE_TIME,PEOPLE_POSITIVE_NEGATIVE_TEST_RESULTS_COUNT,DATA_SOURCE_NAME,PEOPLE_DEATH_NEW_COUNT,PEOPLE_INTUBATED_CUMULATIVE_COUNT,PEOPLE_TEST_RESULTS_NEW_COUNT,PEOPLE_IN_INTENSIVE_CARE_CUMULATIVE_COUNT,PEOPLE_NEGATIVE_CASES_COUNT,PROVINCE_STATE_FIPS_NUMBER,PEOPLE_HOSPITALIZED_NEW_COUNT,PEOPLE_HOSPITALIZED_CUMULATIVE_COUNT,PEOPLE_INTUBATED_CURRENTLY_COUNT,PEOPLE_HOSPITALIZED_CURRENTLY_COUNT,PEOPLE_POSITIVE_NEW_CASES_COUNT,PEOPLE_DEATH_COUNT
6568,AK,1631,A,7/15/2020,,,669,7/15/2020 12:00:00 AM,156093,COVID Tracking Project Historical,0,,6620,,154462,02,0,,0,32,52,17
10148,AL,59067,B,7/15/2020,,,29736,7/15/2020 11:00:00 AM,541049,COVID Tracking Project Historical,47,514,11960,941,481982,01,168,7291,,1362,1812,1211
4913,AR,30297,A,7/15/2020,,,23523,7/15/2020 2:36:00 PM,395776,COVID Tracking Project Historical,4,279,5477,,365479,05,76,1948,94,458,564,335
0,AS,0,C,7/15/2020,,,,7/1/2020 12:00:00 AM,816,COVID Tracking Project Historical,0,,0,,816,60,0,,,,0,0
10762,AZ,131354,A+,7/15/2020,929,,16155,7/15/2020 12:00:00 AM,735962,COVID Tracking Project Historical,97,,14019,,604608,04,161,6103,671,3493,3257,2434
107195,CA,347634,B,7/15/2020,2110,,,7/15/2020 12:00:00 AM,5793276,COVID Tracking Project Historical,140,,118321,,5445642,06,0,,,8353,11126,7227
4591,CO,37686,A,7/15/2020,,,4844,7/15/2020 1:59:00 AM,409990,COVID Tracking Project Historical,5,,5035,,372304,08,22,5963,,368,444,1594
12232,CT,47636,B,7/15/2020,,,8351,7/14/2020 8:30:00 PM,604099,COVID Tracking Project Historical,8,,12338,,556463,09,0,10552,,67,106,4380
3948,DC,11026,A+,7/15/2020,24,,1809,7/14/2020 12:00:00 AM,137944,COVID Tracking Project Historical,3,,4028,,126918,11,0,,15,95,80,571
1707,DE,13050,A+,7/15/2020,11,,7236,7/14/2020 6:00:00 PM,143388,COVID Tracking Project Historical,3,,1788,,130338,10,0,,,51,81,521
40529,FL,301810,A,7/15/2020,,2189,,7/14/2020 11:59:00 PM,2735953,COVID Tracking Project Historical,112,,50710,,2434143,12,458,19659,,8217,10181,4626
20078,GA,127834,A,7/15/2020,,,,7/15/2020 2:50:00 PM,1154983,COVID Tracking Project Historical,37,,23949,2702,1027149,13,417,14102,,2786,3871,3091
289,GU,313,B,7/15/2020,,,213,7/14/2020 10:15:00 PM,17827,COVID Tracking Project Historical,0,,290,,17514,66,0,,,4,1,5
1466,HI,1264,D,7/15/2020,,,921,7/14/2020 6:00:00 PM,97557,COVID Tracking Project Historical,0,,1487,,96293,15,5,133,,,21,22
6462,IA,36291,A+,7/15/2020,62,,27177,7/15/2020 12:00:00 AM,387312,COVID Tracking Project Historical,5,,6904,,351021,19,0,,30,190,442,762
3314,ID,11718,A,7/15/2020,33,,3360,7/14/2020 7:00:00 PM,133914,COVID Tracking Project Historical,1,,3630,151,122196,16,10,510,,129,316,103
36974,IL,157825,A,7/15/2020,324,,,7/15/2020 12:00:00 AM,2080733,COVID Tracking Project Historical,8,,38161,,1922908,17,0,,130,1454,1187,7427
7495,IN,53370,A+,7/15/2020,284,,39571,7/14/2020 11:59:00 PM,586589,COVID Tracking Project Historical,10,,8180,1634,533219,18,53,7686,79,881,685,2785
7324,KS,20933,A,7/15/2020,65,,948,7/15/2020 10:00:00 AM,239374,COVID Tracking Project Historical,11,159,8199,418,218441,20,50,1393,21,,875,299
3177,KY,20677,B,7/15/2020,92,,5475,7/15/2020 12:00:00 AM,459187,COVID Tracking Project Historical,10,,3631,1028,438510,21,21,2823,,445,454,645
22656,LA,84131,B,7/15/2020,,,53288,7/15/2020 1:00:00 PM,1001200,COVID Tracking Project Historical,16,,24745,,917069,22,0,,149,1369,2089,3461
